Date;veic_lt;veic_ln;veic_li;veic_prod;veic_exp;auto_lt;auto_ln;auto_li;auto_prod;auto_exp;comlev_lt;comlev_ln;comlev_li;comlev_prod;comlev_exp;cam_lt;cam_ln;cam_li;cam_prod;cam_exp;on_lt;on_ln;on_li;on_prod;on_exp
dez/99;86703;74684;12019;81211;24284;69819;62267;7552;68017;18585;12088;8025;4063;9047;4414;4100;3696;404;3607;827;696;696;0;540;458
jan/00;89216;79396;9820;92704;13172;74212;67815;6397;77734;8573;9849;7155;2694;10701;3873;4189;3460;729;3413;404;966;966;0;856;322
fev/00;112595;101459;11136;126595;21318;92330;84864;7466;103817;14871;13485;10694;2791;16434;5125;5570;4692;878;5078;1084;1210;1209;1;1266;238
mar/00;117823;105733;12090;130730;23027;96953;88478;8475;106999;16004;14162;11213;2949;16462;5837;5222;4557;665;5635;919;1486;1485;1;1634;267
abr/00;116950;104332;12618;129116;22541;94737;85889;8848;102768;15791;15460;12209;3251;18620;5633;5049;4530;519;5612;825;1704;1704;0;2116;292
mai/00;129723;114966;14757;144738;29839;102998;93516;9482;114672;21286;18378;13894;4484;20730;7225;6340;5549;791;6784;957;2007;2007;0;2552;371
jun/00;124682;110145;14537;145172;26257;98630;88813;9817;114624;18579;18039;14021;4018;21533;6728;6324;5622;702;6339;598;1689;1689;0;2676;352
jul/00;125791;111040;14751;141751;27137;103047;92753;10294;115370;20034;15357;11569;3788;17490;6082;5797;5185;612;6462;654;1590;1533;57;2429;367
ago/00;142446;124608;17838;161503;26656;114180;102837;11343;130989;20937;20221;14303;5918;20595;4654;6599;6011;588;7657;681;1446;1457;-11;2262;384
set/00;130591;115432;15159;141474;24083;104629;95304;9325;112614;17431;18914;13806;5108;19804;5486;6047;5338;709;7081;686;1001;984;17;1975;480
out/00;131235;116967;14268;140295;24903;105222;95937;9285;111817;18690;18360;13926;4434;19902;5212;6439;5902;537;7054;512;1214;1202;12;1522;489
nov/00;134893;116509;18384;128920;20842;109479;96921;12558;104799;15162;17803;12456;5347;17282;4475;6443;6021;422;5654;665;1168;1111;57;1185;540
dez/00;133536;114716;18820;122850;26128;108653;95208;13445;102234;19828;18546;13715;4831;15441;5013;5190;4757;433;4345;760;1147;1036;111;830;527
jan/01;122184;103136;19048;116359;12612;101257;86516;14741;97253;10209;14643;10698;3945;12300;1651;5163;4858;305;5544;347;1121;1064;57;1262;405
fev/01;132323;115953;16370;135125;15230;108473;96775;11698;112025;11776;16796;12452;4344;15607;2531;5658;5372;286;5921;625;1396;1354;42;1572;298
mar/01;164995;147026;17969;172563;25122;132948;120179;12769;140544;19936;22783;18038;4745;22125;3882;7673;7241;432;7941;847;1591;1568;23;1953;457
abr/01;154819;136732;18087;159963;26726;127900;113467;14433;132217;21201;18740;15348;3392;18894;4580;6552;6292;260;6575;564;1627;1625;2;2277;381
mai/01;161748;144428;17320;181201;24501;132946;119989;12957;149834;19489;20365;16250;4115;20971;4115;6777;6529;248;8059;586;1660;1660;0;2337;311
jun/01;138138;124291;13847;153120;23115;114088;103530;10558;126905;18236;16225;13142;3083;17003;3815;6386;6183;203;7155;688;1439;1436;3;2057;376
jul/01;125818;111415;14403;142411;19354;104053;92456;11597;118796;15528;14356;11772;2584;14799;2845;5870;5657;213;6903;646;1539;1530;9;1913;335
ago/01;131950;118148;13802;139972;16140;108929;98471;10458;116559;13181;14615;11499;3116;14116;1935;6699;6475;224;7123;524;1707;1703;4;2174;500
set/01;101296;88872;12424;127346;23855;81964;72738;9226;105636;19099;12062;9126;2936;13955;3763;5943;5686;257;5975;523;1327;1322;5;1780;470
out/01;111787;99819;11968;117198;25718;92569;83298;9271;94361;19996;12447;10020;2427;14275;4689;5318;5054;264;6469;481;1453;1447;6;2093;552
nov/01;129783;118159;11624;124740;19275;108962;100725;8237;103400;15338;14113;10867;3246;13770;3034;5847;5712;135;5820;336;861;855;6;1750;567
dez/01;126441;114987;11454;104524;16624;104143;95742;8401;86838;13168;15428;12568;2860;13142;2383;5631;5450;181;3766;395;1239;1227;12;778;678
jan/02;114681;102690;11991;116830;9292;94726;85712;9014;98106;7647;13637;10855;2782;12088;1283;5327;5132;195;4826;154;991;991;0;1810;208
fev/02;97521;88248;9273;116000;14161;80650;73767;6883;96240;11674;11281;9027;2254;12360;1880;4562;4426;136;5345;280;1028;1028;0;2055;327
mar/02;123783;113114;10669;143887;19190;103781;96022;7759;120508;15787;13132;10396;2736;14913;2535;5350;5176;174;6350;461;1520;1520;0;2116;407
