id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50866713,Super Studio a  Carouge,411253896,Prosper,,Commune de Genève,46.18939,6.13207,Entire home/apt,70,2,14,2021-11-23,3.31,1,361,14,
50905068,belle chambre calme et bien située,16860675,Thomas,,Commune de Genève,46.21106,6.13225,Private room,40,4,0,,,1,0,0,
50905901,Lovely 1 bedroom apartment in Geneva,15922267,Filip,,Commune de Genève,46.19166,6.14557,Entire home/apt,95,3,0,,,1,170,0,
50908158,Prestigious Two Bedroom Suit - Lake View,3528377,Marc,,Commune de Genève,46.21067,6.151451,Entire home/apt,381,1,12,2021-12-12,2.14,83,323,12,
50908558,Prestigious One Bedroom Suit - Lake View,3528377,Marc,,Commune de Genève,46.21096,6.151971,Entire home/apt,217,1,13,2021-09-01,2.41,83,178,13,
50909751,Une chambre bien située,97067947,Doumoma,,Commune de Genève,46.21348,6.12138,Private room,38,2,3,2021-11-04,0.56,1,53,3,
50912218,Nest in Pâquis - Next to UN - 4min to Cornavin,3528377,Marc,,Commune de Genève,46.21515,6.14751,Entire home/apt,112,1,14,2021-11-20,2.78,83,69,14,
50938082,"En plein centre de Genève situé à 3 minutes de la gare Cornavin. 
Appartement très lumineux au 3 ème étage avec ascenseur.",12046465,Mariana,,Commune de Genève,46.20888,6.13392,Entire home/apt,120,4,10,2021-11-29,2.27,1,321,10,
50960546,Appartement chaleureux au cœur de Genève,48450653,Tom,,Commune de Genève,46.18928,6.14417,Entire home/apt,203,3,5,2021-10-30,1.15,2,364,5,
51030822,Lovely 2 bedroom loft apartment in Genève. Less than 5 minutes from the lake.,53179420,Heather,,Commune de Genève,46.20287,6.15665,Entire home/apt,150,4,1,2021-08-02,0.20,1,0,1,
51040307,Cosy apartment - City center - Eaux-vives,68197193,Kety,,Commune de Genève,46.20253,6.15576,Entire home/apt,121,2,2,2021-09-10,0.42,1,353,2,
51056147,Super Central Servette Appartment Best Location,65555513,Niels,,Commune de Genève,46.21188,6.13476,Entire home/apt,200,1,0,,,1,263,0,
51063360,"Studio hyper cosy & fonctionnel, au cœur de Genève",88768738,Brice,,Commune de Genève,46.21174,6.12952,Entire home/apt,80,2,3,2021-08-08,0.61,1,25,3,
51091546,Genève : Willson Appart,94996996,Kais,,Commune de Genève,46.21465,6.14991,Entire home/apt,88,2,8,2021-12-22,1.70,1,363,8,
51103313,Chambre spacieuse avec terrasse perso,1267055,N.,,Onex,46.19052,6.10663,Private room,55,1,2,2021-09-02,0.49,1,317,2,
51104514,"GENEVA GARDEN HOUSE, CLOSE TO AIRPORT, SHOPS & U N",193484,Dr. Momar,,Grand-Saconnex,46.23394,6.12168,Entire home/apt,429,1,1,2021-08-08,0.21,1,358,1,
51145464,Eaux Vives: comfortable and spacious double room.,375150886,Manuela,,Commune de Genève,46.20194,6.16107,Private room,99,2,3,2021-12-23,1.30,1,1,3,
51147168,Lovely One bedroom by the lake,201343916,Anton,,Commune de Genève,46.20397,6.16057,Entire home/apt,100,2,3,2021-11-14,0.96,1,37,3,
51147211,High standing  studio with pool - Geneva/Cologny,103071235,Ramona,,Cologny,46.20441,6.17422,Entire home/apt,100,7,1,2021-08-09,0.21,3,328,1,
51158623,Genève: appartement entier dans quartier central de Genève,405435059,Linda,,Commune de Genève,46.1931,6.14498,Entire home/apt,100,1,0,,,1,359,0,
51168588,Design townhouse near the Geneva Lake,5645316,Lela,,Versoix,46.2829,6.15935,Entire home/apt,380,3,0,,,1,17,0,
51173233,Near Geneva lake,414165482,Philippe,,Commune de Genève,46.21465,6.15073,Entire home/apt,97,2,1,2021-07-30,0.20,1,178,1,
51206663,Magnifique Loft de 150m2  avec Jakuzzi et fitness,36114128,Paul,,Commune de Genève,46.20691,6.12202,Entire home/apt,500,1,3,2021-11-14,1.30,1,342,3,
51208533,"beautiful & central, yet quiet, flat in Geneva",6498613,Aurélie,,Commune de Genève,46.20879,6.13534,Entire home/apt,80,20,0,,,1,183,0,
51209189,Spacious and bright apartment near lake and park,23340603,Lihi,,Commune de Genève,46.20699,6.16248,Entire home/apt,109,1,8,2021-12-08,1.83,3,12,8,
51240228,Beautiful old apartement in the heart of Geneva ❤️,50273872,Audrey,,Commune de Genève,46.19951,6.13777,Entire home/apt,179,3,1,2021-10-10,0.38,1,305,1,
51244497,Charming spacious 1 Bdr apartment in Eaux-Vives,348680265,Jorge,,Commune de Genève,46.20488,6.16767,Entire home/apt,250,2,4,2021-11-15,1.02,1,359,4,
51247683,Atmospheric flat for a perfect city get-away,69600130,Vanessa,,Commune de Genève,46.20884,6.12339,Entire home/apt,119,4,3,2021-11-07,0.67,1,2,3,
51257798,Grand studio en ville et entouré d’espaces verts,390607802,Fall,,Commune de Genève,46.22225,6.128,Entire home/apt,100,3,2,2021-12-03,1.36,1,111,2,
51265411,"CŒUR DE CHAMPEL, TERRASSE, ESPACE FITNESS, GARE",213181164,Parfait,,Commune de Genève,46.19167,6.15284,Entire home/apt,130,1,3,2021-10-03,0.60,1,364,3,
51287730,Grande chambre meublé,400691533,Dorsaf,,Commune de Genève,46.21314,6.13231,Private room,80,1,0,,,1,18,0,
51312935,Central apartment by the Geneva lake,73534851,Doron,,Commune de Genève,46.20444,6.16017,Entire home/apt,130,60,0,,,1,360,0,
51336742,entire luxury flat in the heart of the old city,6923852,Beatrice,,Commune de Genève,46.20004,6.14847,Entire home/apt,300,1,4,2021-09-12,0.88,1,93,4,
51357056,Magnifique appartement de deux chambres dans un immeuble de standing,94673785,Nicolas,,Commune de Genève,46.21207,6.15007,Entire home/apt,230,1,0,,,4,353,0,
51379342,"Chambre à 5 min gare Cornavin, 25min aéroport",321427694,Raphael,,Commune de Genève,46.21284,6.13306,Private room,43,1,12,2021-11-08,3.53,5,88,12,
51398663,Lovely 3 bedroom apartment in Geneva (lake views),71968124,Andrew,,Commune de Genève,46.21267,6.14715,Entire home/apt,500,2,15,2021-12-11,3.13,1,76,15,
51416105,Cosy Studio Jet d'eau,416420332,Mav,,Commune de Genève,46.203171,6.160101,Entire home/apt,99,1,10,2021-12-09,4.05,1,69,10,
51416455,"Gorgeous, bright room 3mins from the lake!",362978766,Maria,,Commune de Genève,46.21298,6.1441,Private room,66,2,14,2021-11-13,3.13,1,2,14,
51418438,"Splendide appartement de 4,5 pièces en attique",113694473,Nicolas,,Commune de Genève,46.1898,6.15509,Entire home/apt,250,3,0,,,1,360,0,
51422474,"Genève : Superbe appartement.

Jolie petit appartement tout équipé de 52m2 à 10 minutes à pied du centre ville.",52611840,William,,Commune de Genève,46.20112,6.13073,Entire home/apt,90,1,1,2021-09-29,0.34,1,348,1,
